rebalance_date,stkcd
2017-05-01,000046
2017-05-01,000059
2017-05-01,000069
2017-05-01,000333
2017-05-01,000400
2017-05-01,000404
2017-05-01,000411
2017-05-01,000429
2017-05-01,000501
2017-05-01,000537
2017-05-01,000541
2017-05-01,000581
2017-05-01,000587
2017-05-01,000600
2017-05-01,000603
2017-05-01,000625
2017-05-01,000627
2017-05-01,000650
2017-05-01,000651
2017-05-01,000666
2017-05-01,000726
2017-05-01,000786
2017-05-01,000811
2017-05-01,000813
2017-05-01,000828
2017-05-01,000858
2017-05-01,000863
2017-05-01,000876
2017-05-01,000900
2017-05-01,000908
2017-05-01,000921
2017-05-01,000936
2017-05-01,000966
2017-05-01,000981
2017-05-01,000999
2017-05-01,001872
2017-05-01,001979
2017-05-01,002001
2017-05-01,002033
2017-05-01,002042
2017-05-01,002047
2017-05-01,002048
2017-05-01,002051
2017-05-01,002078
2017-05-01,002081
2017-05-01,002083
2017-05-01,002091
2017-05-01,002092
2017-05-01,002110
2017-05-01,002126
2017-05-01,002133
2017-05-01,002142
2017-05-01,002143
2017-05-01,002146
2017-05-01,002152
2017-05-01,002157
2017-05-01,002202
2017-05-01,002228
2017-05-01,002244
2017-05-01,002270
2017-05-01,002327
2017-05-01,002394
2017-05-01,002468
2017-05-01,002477
2017-05-01,002493
2017-05-01,002501
2017-05-01,002504
2017-05-01,002517
2017-05-01,002531
2017-05-01,002543
2017-05-01,002557
2017-05-01,002563
2017-05-01,002581
2017-05-01,002594
2017-05-01,002662
2017-05-01,002836
2017-05-01,300026
2017-05-01,300118
2017-05-01,300274
2017-05-01,600000
2017-05-01,600004
2017-05-01,600009
2017-05-01,600011
2017-05-01,600015
2017-05-01,600016
2017-05-01,600018
2017-05-01,600023
2017-05-01,600029
2017-05-01,600036
2017-05-01,600039
2017-05-01,600048
2017-05-01,600051
2017-05-01,600056
2017-05-01,600060
2017-05-01,600062
2017-05-01,600068
2017-05-01,600075
2017-05-01,600090
2017-05-01,600100
2017-05-01,600104
2017-05-01,600115
2017-05-01,600120
2017-05-01,600138
2017-05-01,600153
2017-05-01,600162
2017-05-01,600176
2017-05-01,600177
2017-05-01,600196
2017-05-01,600208
2017-05-01,600233
2017-05-01,600236
2017-05-01,600240
2017-05-01,600270
2017-05-01,600297
2017-05-01,600299
2017-05-01,600309
2017-05-01,600312
2017-05-01,600326
2017-05-01,600332
2017-05-01,600340
2017-05-01,600350
2017-05-01,600352
2017-05-01,600366
2017-05-01,600373
2017-05-01,600377
2017-05-01,600380
2017-05-01,600383
2017-05-01,600398
2017-05-01,600409
2017-05-01,600420
2017-05-01,600426
2017-05-01,600438
2017-05-01,600485
2017-05-01,600522
2017-05-01,600565
2017-05-01,600585
2017-05-01,600597
2017-05-01,600606
2017-05-01,600629
2017-05-01,600637
2017-05-01,600641
2017-05-01,600660
2017-05-01,600667
2017-05-01,600668
2017-05-01,600674
2017-05-01,600683
2017-05-01,600688
2017-05-01,600690
2017-05-01,600697
2017-05-01,600704
2017-05-01,600705
2017-05-01,600708
2017-05-01,600741
2017-05-01,600742
2017-05-01,600743
2017-05-01,600757
2017-05-01,600803
2017-05-01,600814
2017-05-01,600835
2017-05-01,600856
2017-05-01,600873
2017-05-01,600886
2017-05-01,600894
2017-05-01,600897
2017-05-01,600900
2017-05-01,600908
2017-05-01,600919
2017-05-01,600926
2017-05-01,600987
2017-05-01,601000
2017-05-01,601009
2017-05-01,601012
2017-05-01,601098
2017-05-01,601128
2017-05-01,601155
2017-05-01,601166
2017-05-01,601169
2017-05-01,601229
2017-05-01,601233
2017-05-01,601288
2017-05-01,601311
2017-05-01,601318
2017-05-01,601328
2017-05-01,601398
2017-05-01,601567
2017-05-01,601633
2017-05-01,601636
2017-05-01,601668
2017-05-01,601766
2017-05-01,601818
2017-05-01,601872
2017-05-01,601877
2017-05-01,601939
2017-05-01,601985
2017-05-01,601988
2017-05-01,601997
2017-05-01,601998
2017-05-01,603766
2017-05-01,603929
2018-05-01,000002
2018-05-01,000030
2018-05-01,000036
2018-05-01,000046
2018-05-01,000055
2018-05-01,000059
2018-05-01,000069
2018-05-01,000338
2018-05-01,000402
2018-05-01,000429
2018-05-01,000488
2018-05-01,000501
2018-05-01,000505
2018-05-01,000525
2018-05-01,000553
2018-05-01,000581
2018-05-01,000603
2018-05-01,000625
2018-05-01,000631
2018-05-01,000650
2018-05-01,000652
2018-05-01,000666
2018-05-01,000681
2018-05-01,000703
2018-05-01,000718
2018-05-01,000736
2018-05-01,000785
2018-05-01,000789
2018-05-01,000811
2018-05-01,000813
2018-05-01,000825
2018-05-01,000828
2018-05-01,000830
2018-05-01,000902
2018-05-01,000918
2018-05-01,000951
2018-05-01,000980
2018-05-01,000981
2018-05-01,001979
2018-05-01,002014
2018-05-01,002039
2018-05-01,002042
2018-05-01,002048
2018-05-01,002067
2018-05-01,002068
2018-05-01,002078
2018-05-01,002083
2018-05-01,002091
2018-05-01,002092
2018-05-01,002127
2018-05-01,002128
2018-05-01,002142
2018-05-01,002143
2018-05-01,002146
2018-05-01,002244
2018-05-01,002270
2018-05-01,002314
2018-05-01,002323
2018-05-01,002354
2018-05-01,002366
2018-05-01,002385
2018-05-01,002394
2018-05-01,002419
2018-05-01,002440
2018-05-01,002448
2018-05-01,002454
2018-05-01,002462
2018-05-01,002468
2018-05-01,002564
2018-05-01,002581
2018-05-01,002589
2018-05-01,002608
2018-05-01,300118
2018-05-01,300684
2018-05-01,600000
2018-05-01,600004
2018-05-01,600015
2018-05-01,600016
2018-05-01,600018
2018-05-01,600019
2018-05-01,600036
2018-05-01,600048
2018-05-01,600051
2018-05-01,600075
2018-05-01,600076
